ID_ARCHETYPE,NUMERO_PERIODE,DISPOSITIF_MUR_OPTION1,DISPOSITIF_MUR_OPTION2,DISPOSITIF_MUR_OPTION3,DISPOSITIF_TOIT_OPTION1,DISPOSITIF_TOIT_OPTION2,TERRITOIRE,COUVERTURE_ROUTE,VENTILATION,COMPACITE,POURCENTAGE_VITRAGE,PROTECTIONS_SOLAIRES,TYPE_VITRAGE,USAGE,NOM_TYPOLOGIE,PHOTO,source photo,PERMEABILITE,PLANCHER
AGR_BA_P1_TBO_ARD,P1,PAV_M_P1_TBo-bo,ND,ND,HAB_T_P1_TPI_AR,ND,FRANCE_BOIS_ARDOISE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,12,TERRE BATTUE1NON0
AGR_BA_P1_TBO_TUI,P1,PAV_M_P1_TBo-bo,ND,ND,HAB_T_P1_TBR_TM,ND,FRANCE_BOIS_TUILE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,12,TERRE BATTUE1NON0
AGR_BA_P1_TBR_ARD,P1,PAV_M_P1_TBr_br,ND,ND,HAB_T_P1_TPI_AR,ND,FRANCE_BRIQUE_ARDOISE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,9,TERRE BATTUE1NON0
AGR_BA_P1_TBR_TF,P1,PAV_M_P1_TBr_br,ND,ND,HAB_T_P1_TBR_TU,ND,FRANCE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,9,TERRE BATTUE1NON0
AGR_BA_P1_TBR_TUI,P1,PAV_M_P1_TBr_br,ND,ND,HAB_T_P1_TBR_TU,ND,FRANCE_BRIQUE_TUILE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,9,TERRE BATTUE1NON0
AGR_BA_P1_TCAL_ARD,P1,PAV_M_P1_TPi_Cal,ND,ND,HAB_T_P1_TPI_AR,ND,FRANCE_PIERRE_CALCAIRE_ARDOISE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,9,TERRE BATTUE1NON0
AGR_BA_P1_TCAL_TUI,P1,PAV_M_P1_TPi_Cal,ND,ND,HAB_T_P1_TBR_TP,ND,FRANCE_PIERRE_CALCAIRE_TUILE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,9,TERRE BATTUE1NON0
AGR_BA_P1_TCAL_ZIN,P1,PAV_M_P1_TPi_Cal,ND,ND,CHA_T_P1_TZINC,ND,FRANCE_PIERRE_CALCAIRE_ZINC,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,9,TERRE BATTUE1NON0
AGR_BA_P1_TER_TUI,P1,PAV_M_P1_TPB_pi,ND,ND,HAB_T_P1_TBR_TP,ND,FRANCE_TERRE_TUILE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,9,TERRE BATTUE1NON0
AGR_BA_P1_TGAL_TUI,P1,PAV_M_P1_TPi_Gal,ND,ND,HAB_T_P1_TBR_TC,ND,FRANCE_PIERRE_GALET_TUILE,ASPHALT,NON,NON,0,NON,NON,BATIMENT AGRICOLE,BA,,,9,TERRE BATTUE1NON0
