ID_ARCHETYPE,archetype,U_wall_0,U_wall_min,U_wall_max,perc_below_lim_wall,perc_within_lim_wall,perc_above_lim_wall,U_roof_0_moy,U_roof_min,U_roof_max,perc_below_lim_roof,perc_within_lim_roof,perc_above_lim_roof,dist_perc_wall,dist_wall_count,dist_wall_mean,dist_wall_std,dist_wall_min,dist_wall_Q1,dist_wall_Q2,dist_wall_Q3,dist_wall_max,dist_wall_EP_ISOL_M1_med,dist_wall_EP_ISOL_M1_moy,dist_perc_roof,dist_roof_count,dist_roof_mean,dist_roof_std,dist_roof_min,dist_roof_Q1,dist_roof_Q2,dist_roof_Q3,dist_roof_max,dist_roof_EP_ISOL_T1_moy,dist_roof_EP_ISOL_T1_med,renov_perc_wall,renov_wall_count,renov_wall_mean,renov_wall_std,renov_wall_min,renov_wall_Q1,renov_wall_Q2,renov_wall_Q3,renov_wall_max,renov_wall_EP_ISOL_M1_med,renov_wall_EP_ISOL_M1_moy,renov_perc_roof,renov_roof_count,renov_roof_mean,renov_roof_std,renov_roof_min,renov_roof_Q1,renov_roof_Q2,renov_roof_Q3,renov_roof_max,renov_roof_EP_ISOL_T1_moy,renov_roof_EP_ISOL_T1_med,nonrnv_perc_wall,nonrnv_wall_count,nonrnv_wall_mean,nonrnv_wall_std,nonrnv_wall_min,nonrnv_wall_Q1,nonrnv_wall_Q2,nonrnv_wall_Q3,nonrnv_wall_max,nonrnv_wall_EP_ISOL_M1_med,nonrnv_wall_EP_ISOL_M1_moy,nonrnv_perc_roof,nonrnv_roof_count,nonrnv_roof_mean,nonrnv_roof_std,nonrnv_roof_min,nonrnv_roof_Q1,nonrnv_roof_Q2,nonrnv_roof_Q3,nonrnv_roof_max,nonrnv_roof_EP_ISOL_T1_med,nonrnv_roof_EP_ISOL_T1_moy
COM_I_P1_TF,P1-I-COMMERCE-FRANCE,1.5,1.5,2.5,74.6,25.4,0.0,1.7375,1.2,2.5,73.3,26.6,0.1,100,916,0.855,0.673,0.05,0.35,0.47,1.55,2.5,6,2,100,916,0.756,0.873,0.06,0.19,0.25,1.2,3.61,3,14,74.6,683,0.487,0.257,0.05,0.34,0.38,0.54,1.48,8,6,73.3,671,0.265,0.156,0.06,0.18,0.2,0.3,1.07,13,18,25.4,233,1.934,0.161,1.5,1.9,2.0,2.0,2.5,0.0,0.0,26.700000000000003,245,2.1,0.557,1.2,1.45,2.5,2.5,3.61,0,0
HAB_I_P1_TBO_TUI,P1-I-HABITAT-FRANCE_BOIS_TUILE,0.8,0.8,2.5,67.0,33.0,0.0,1.7375,1.2,2.5,67.4,32.6,0.0,100,1010,0.809,0.681,0.1,0.34,0.4,1.5,2.5,5,0,100,1010,0.86,0.933,0.06,0.19,0.3,1.45,2.5,2,11,67.0,677,0.368,0.121,0.1,0.32,0.35,0.4,0.78,6,6,67.4,681,0.255,0.135,0.06,0.18,0.2,0.3,1.11,13,18,33.0,333,1.704,0.422,0.8,1.55,2.0,2.0,2.5,0.0,0.0,32.6,329,2.112,0.555,1.2,1.45,2.5,2.5,2.5,0,0
HAB_I_P1_TBR_TUI,P1-I-HABITAT-FRANCE_BRIQUE_TUILE,1.35,1.35,2.5,69.2,30.7,0.0,1.7375,1.2,2.5,62.6,37.4,0.0,100,9405,0.931,0.701,0.05,0.36,0.51,1.9,2.61,5,1,100,9405,0.927,0.925,0.05,0.2,0.34,1.45,3.33,2,9,69.2,6511,0.487,0.237,0.05,0.34,0.4,0.555,1.33,7,5,62.6,5884,0.272,0.152,0.05,0.19,0.23,0.32,1.11,12,15,30.7,2894,1.931,0.159,1.35,1.9,2.0,2.0,2.61,0.0,0.0,37.4,3521,2.023,0.57,1.2,1.45,2.5,2.5,3.33,0,0
HAB_I_P1_TCAL_ARD,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ARDOISE,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TCAL_TUI,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TCA_ZIN,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TGNE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,1.8,1.8,2.5,75.4,24.6,0.0,1.7375,1.2,2.5,68.0,32.0,0.0,100,621,0.983,0.688,0.18,0.36,0.58,1.75,2.0,5,2,100,621,0.875,0.949,0.1,0.19,0.3,1.45,2.5,2,11,75.4,468,0.664,0.461,0.18,0.35,0.42,0.98,1.75,7,4,68.0,422,0.26,0.149,0.1,0.18,0.2,0.32,1.0,13,18,24.6,153,1.96,0.054,1.8,1.9,2.0,2.0,2.0,0.0,0.0,32.0,199,2.179,0.505,1.2,1.725,2.5,2.5,2.5,0,0
HAB_I_P1_TGRA_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,1.5,1.5,2.5,71.3,28.7,0.0,1.7375,1.2,2.5,65.4,34.6,0.0,100,1961,0.911,0.673,0.08,0.36,0.47,1.7,2.5,6,2,100,1961,0.865,0.895,0.08,0.2,0.34,1.2,2.5,2,9,71.3,1398,0.512,0.264,0.08,0.35,0.4,0.56,1.48,7,5,65.4,1283,0.273,0.155,0.08,0.18,0.23,0.32,1.18,12,15,28.7,563,1.901,0.163,1.5,1.8,2.0,2.0,2.5,0.0,0.0,34.6,678,1.987,0.589,1.2,1.2,2.3,2.5,2.5,0,0
HAB_I_P1_TGRA_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,1.5,1.5,2.5,71.3,28.7,0.0,1.7375,1.2,2.5,65.4,34.6,0.0,100,1961,0.911,0.673,0.08,0.36,0.47,1.7,2.5,6,2,100,1961,0.865,0.895,0.08,0.2,0.34,1.2,2.5,2,9,71.3,1398,0.512,0.264,0.08,0.35,0.4,0.56,1.48,7,5,65.4,1283,0.273,0.155,0.08,0.18,0.23,0.32,1.18,12,15,28.7,563,1.901,0.163,1.5,1.8,2.0,2.0,2.5,0.0,0.0,34.6,678,1.987,0.589,1.2,1.2,2.3,2.5,2.5,0,0
HAB_I_P1_TGRE_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,1.65,1.65,2.5,70.3,29.7,0.0,1.7375,1.2,2.5,62.7,37.3,0.0,100,5661,0.931,0.706,0.05,0.34,0.47,1.75,3.42,6,2,100,5661,0.877,0.886,0.06,0.19,0.34,1.45,3.0,2,9,70.3,3981,0.508,0.315,0.05,0.33,0.36,0.55,1.61,9,5,62.7,3550,0.258,0.144,0.06,0.18,0.2,0.3,1.11,13,18,29.7,1680,1.931,0.138,1.65,1.9,2.0,2.0,3.42,0.0,0.0,37.3,2111,1.917,0.588,1.2,1.2,2.3,2.5,3.0,0,0
