ID_ARCHETYPE,archetype,perc_wall,wall_count,wall_mean,wall_std,wall_min,wall_Q1,wall_Q2,wall_Q3,wall_max,wall_EP_ISOL_M1_med,wall_EP_ISOL_M1_moy,perc_roof,roof_count,roof_mean,roof_std,roof_min,roof_Q1,roof_Q2,roof_Q3,roof_max,roof_EP_ISOL_T1_med,roof_EP_ISOL_T1_moy
COM_I_P1_TF,P1-I-COMMERCE-FRANCE,25.4,233,1.934,0.161,1.5,1.9,2.0,2.0,2.5,0.0,0.0,26.700000000000003,245,2.1,0.557,1.2,1.45,2.5,2.5,3.61,0,0
HAB_I_P1_TBO_TUI,P1-I-HABITAT-FRANCE_BOIS_TUILE,33.0,333,1.704,0.422,0.8,1.55,2.0,2.0,2.5,0.0,0.0,32.6,329,2.112,0.555,1.2,1.45,2.5,2.5,2.5,0,0
HAB_I_P1_TBR_TUI,P1-I-HABITAT-FRANCE_BRIQUE_TUILE,30.7,2894,1.931,0.159,1.35,1.9,2.0,2.0,2.61,0.0,0.0,37.4,3521,2.023,0.57,1.2,1.45,2.5,2.5,3.33,0,0
HAB_I_P1_TCAL_ARD,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ARDOISE,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TCAL_TUI,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TCA_ZIN,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TGNE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,24.6,153,1.96,0.054,1.8,1.9,2.0,2.0,2.0,0.0,0.0,32.0,199,2.179,0.505,1.2,1.725,2.5,2.5,2.5,0,0
HAB_I_P1_TGRA_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,28.7,563,1.901,0.163,1.5,1.8,2.0,2.0,2.5,0.0,0.0,34.6,678,1.987,0.589,1.2,1.2,2.3,2.5,2.5,0,0
HAB_I_P1_TGRA_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,28.7,563,1.901,0.163,1.5,1.8,2.0,2.0,2.5,0.0,0.0,34.6,678,1.987,0.589,1.2,1.2,2.3,2.5,2.5,0,0
HAB_I_P1_TGRE_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,29.7,1680,1.931,0.138,1.65,1.9,2.0,2.0,3.42,0.0,0.0,37.3,2111,1.917,0.588,1.2,1.2,2.3,2.5,3.0,0,0
HAB_I_P1_TGRE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRES_TUILE,29.7,1680,1.931,0.138,1.65,1.9,2.0,2.0,3.42,0.0,0.0,37.3,2111,1.917,0.588,1.2,1.2,2.3,2.5,3.0,0,0
HAB_I_P1_TMEU,P1-I-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,29.2,465,1.885,0.169,1.5,1.75,2.0,2.0,2.5,0.0,0.0,36.2,577,1.888,0.597,1.2,1.2,2.0,2.5,2.5,0,0
HAB_I_P1_TSCH_TUI,P1-I-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,51.6,318,1.917,0.13,1.5,1.9,2.0,2.0,2.56,0.0,0.0,35.3,218,2.107,0.536,1.2,1.45,2.5,2.5,2.5,0,0
HAB_I_P1_TER_TUI,P1-I-HABITAT-FRANCE_TERRE_TUILE,22.3,239,1.965,0.178,1.5,1.9,2.0,2.0,2.5,0.0,0.0,27.5,295,1.88,0.604,1.2,1.2,2.0,2.5,2.5,0,0
HAB_P_P1_TBO_TUI,P1-P-HABITAT-FRANCE_BOIS_TUILE,37.6,804,1.696,0.41,0.8,1.5,1.9,2.0,2.5,0.0,0.0,16.6,355,2.154,0.491,1.2,2.0,2.3,2.5,2.5,0,0
HAB_P_P1_TBR_TUI,P1-P-HABITAT-FRANCE_BRIQUE_TUILE,29.4,10059,1.936,0.168,1.35,1.9,2.0,2.0,2.89,0.0,0.0,19.6,6706,2.052,0.547,1.2,1.45,2.3,2.5,2.74,0,0
HAB_P_P1_TCAL_TUI,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,30.9,8428,1.926,0.143,1.5,1.9,2.0,2.0,2.5,0.0,0.0,17.7,4821,2.161,0.532,1.2,1.6,2.5,2.5,3.61,0,0
HAB_P_P1_TCA_ZIN,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,30.9,8428,1.926,0.143,1.5,1.9,2.0,2.0,2.5,0.0,0.0,17.7,4821,2.161,0.532,1.2,1.6,2.5,2.5,3.61,0,0
HAB_P_P1_TGNE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,31.5,515,1.968,0.068,1.8,1.9,2.0,2.0,2.51,0.0,0.0,17.3,284,2.159,0.508,1.2,1.45,2.5,2.5,2.5,0,0
HAB_P_P1_TGRA_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,27.5,1447,1.969,0.091,1.8,1.9,2.0,2.0,2.5,0.0,0.0,16.2,853,2.054,0.536,1.2,1.45,2.3,2.5,2.5,0,0
HAB_P_P1_TGRA_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,27.5,1447,1.969,0.091,1.8,1.9,2.0,2.0,2.5,0.0,0.0,16.2,853,2.054,0.536,1.2,1.45,2.3,2.5,2.5,0,0
HAB_P_P1_TGRE_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,31.4,4225,1.936,0.135,1.65,1.9,2.0,2.0,2.5,0.0,0.0,20.6,2772,1.918,0.572,1.2,1.2,2.3,2.5,4.62,0,0
HAB_P_P1_TGRE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRES_TUILE,31.4,4225,1.936,0.135,1.65,1.9,2.0,2.0,2.5,0.0,0.0,20.6,2772,1.918,0.572,1.2,1.2,2.3,2.5,4.62,0,0
HAB_P_P1_TMEU,P1-P-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,0.2,7,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,21.1,621,1.88,0.578,1.2,1.2,2.0,2.5,2.5,0,0
HAB_P_P1_TSCH_TUI,P1-P-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,0.0,0,,,,,,,,,,26.7,384,2.109,0.51,1.2,1.45,2.5,2.5,2.5,0,0
HAB_P_P1_TER_TUI,P1-P-HABITAT-FRANCE_TERRE_TUILE,30.2,707,1.915,0.167,1.55,1.81,2.0,2.0,2.5,0.0,0.0,17.8,416,1.922,0.578,1.2,1.2,2.3,2.5,2.5,0,0
COM_I_P2_TF,P2-I-COMMERCE-FRANCE,0.2,1,2.5,,2.5,2.5,2.5,2.5,2.5,0.0,0.0,27.0,171,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0,0
