ID_ARCHETYPE,archetype,perc_wall,wall_count,wall_mean,wall_std,wall_min,wall_Q1,wall_Q2,wall_Q3,wall_max,wall_EP_ISOL_M1_med,wall_EP_ISOL_M1_moy,perc_roof,roof_count,roof_mean,roof_std,roof_min,roof_Q1,roof_Q2,roof_Q3,roof_max,roof_EP_ISOL_T1_med,roof_EP_ISOL_T1_moy
COM_I_P1_TF,P1-I-COMMERCE-FRANCE,74.6,683,0.487,0.257,0.05,0.34,0.38,0.54,1.48,8,6,73.3,671,0.265,0.156,0.06,0.18,0.2,0.3,1.07,13,18
HAB_I_P1_TBO_TUI,P1-I-HABITAT-FRANCE_BOIS_TUILE,67.0,677,0.368,0.121,0.1,0.32,0.35,0.4,0.78,6,6,67.4,681,0.255,0.135,0.06,0.18,0.2,0.3,1.11,13,18
HAB_I_P1_TBR_TUI,P1-I-HABITAT-FRANCE_BRIQUE_TUILE,69.2,6511,0.487,0.237,0.05,0.34,0.4,0.555,1.33,7,5,62.6,5884,0.272,0.152,0.05,0.19,0.23,0.32,1.11,12,15
HAB_I_P1_TCAL_ARD,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ARDOISE,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14
HAB_I_P1_TCAL_TUI,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14
HAB_I_P1_TCA_ZIN,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14
HAB_I_P1_TGNE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,75.4,468,0.664,0.461,0.18,0.35,0.42,0.98,1.75,7,4,68.0,422,0.26,0.149,0.1,0.18,0.2,0.32,1.0,13,18
HAB_I_P1_TGRA_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,71.3,1398,0.512,0.264,0.08,0.35,0.4,0.56,1.48,7,5,65.4,1283,0.273,0.155,0.08,0.18,0.23,0.32,1.18,12,15
HAB_I_P1_TGRA_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,71.3,1398,0.512,0.264,0.08,0.35,0.4,0.56,1.48,7,5,65.4,1283,0.273,0.155,0.08,0.18,0.23,0.32,1.18,12,15
HAB_I_P1_TGRE_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,70.3,3981,0.508,0.315,0.05,0.33,0.36,0.55,1.61,9,5,62.7,3550,0.258,0.144,0.06,0.18,0.2,0.3,1.11,13,18
HAB_I_P1_TGRE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRES_TUILE,70.3,3981,0.508,0.315,0.05,0.33,0.36,0.55,1.61,9,5,62.7,3550,0.258,0.144,0.06,0.18,0.2,0.3,1.11,13,18
HAB_I_P1_TMEU,P1-I-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,70.8,1129,0.469,0.281,0.12,0.33,0.36,0.47,1.45,8,6,63.8,1017,0.249,0.138,0.07,0.17,0.2,0.29,1.06,14,18
HAB_I_P1_TSCH_TUI,P1-I-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,48.5,299,0.517,0.25,0.18,0.36,0.42,0.56,1.45,7,5,64.7,399,0.308,0.183,0.1,0.19,0.25,0.34,1.11,11,14
HAB_I_P1_TER_TUI,P1-I-HABITAT-FRANCE_TERRE_TUILE,77.7,835,0.439,0.228,0.1,0.33,0.35,0.45,1.49,9,6,72.5,779,0.234,0.118,0.08,0.17,0.19,0.25,1.11,15,19
HAB_P_P1_TBO_TUI,P1-P-HABITAT-FRANCE_BOIS_TUILE,62.4,1337,0.383,0.129,0.09,0.33,0.36,0.42,0.77,6,5,83.4,1786,0.253,0.139,0.06,0.18,0.2,0.3,1.11,14,18
HAB_P_P1_TBR_TUI,P1-P-HABITAT-FRANCE_BRIQUE_TUILE,70.6,24122,0.5,0.255,0.05,0.34,0.4,0.61,1.34,7,5,80.4,27475,0.264,0.15,0.05,0.18,0.2,0.33,1.18,13,18
HAB_P_P1_TCAL_TUI,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,69.1,18816,0.501,0.255,0.07,0.35,0.4,0.57,1.49,7,5,82.3,22423,0.263,0.147,0.05,0.18,0.2,0.3,1.13,13,18
HAB_P_P1_TCA_ZIN,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,69.1,18816,0.501,0.255,0.07,0.35,0.4,0.57,1.49,7,5,82.3,22423,0.263,0.147,0.05,0.18,0.2,0.3,1.13,13,18
HAB_P_P1_TGNE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,68.5,1122,0.676,0.478,0.1,0.35,0.42,0.98,1.78,7,4,82.7,1353,0.249,0.133,0.05,0.17,0.2,0.31,1.11,14,18
HAB_P_P1_TGRA_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,72.5,3818,0.615,0.407,0.09,0.35,0.42,0.835,1.75,7,4,83.8,4412,0.267,0.158,0.08,0.18,0.2,0.32,1.11,13,18
HAB_P_P1_TGRA_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,72.5,3818,0.615,0.407,0.09,0.35,0.42,0.835,1.75,7,4,83.8,4412,0.267,0.158,0.08,0.18,0.2,0.32,1.11,13,18
HAB_P_P1_TGRE_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,68.6,9222,0.54,0.344,0.05,0.33,0.4,0.63,1.62,8,5,79.4,10675,0.255,0.145,0.05,0.17,0.2,0.3,1.16,13,18
HAB_P_P1_TGRE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRES_TUILE,68.6,9222,0.54,0.344,0.05,0.33,0.4,0.63,1.62,8,5,79.4,10675,0.255,0.145,0.05,0.17,0.2,0.3,1.16,13,18
HAB_P_P1_TMEU,P1-P-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,99.8,2936,0.998,0.711,0.05,0.35,0.62,1.75,2.34,5,2,78.9,2322,0.251,0.142,0.05,0.17,0.2,0.3,1.11,14,18
HAB_P_P1_TSCH_TUI,P1-P-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,100.0,1439,1.289,0.724,0.1,0.42,1.68,2.0,2.0,1,1,73.3,1055,0.28,0.157,0.06,0.18,0.24,0.33,1.07,12,14
HAB_P_P1_TER_TUI,P1-P-HABITAT-FRANCE_TERRE_TUILE,69.8,1636,0.465,0.254,0.08,0.33,0.36,0.47,1.52,9,6,82.2,1927,0.245,0.145,0.06,0.17,0.19,0.29,1.11,14,19
COM_I_P2_TF,P2-I-COMMERCE-FRANCE,99.8,633,1.203,0.715,0.12,0.42,1.05,2.0,2.16,2,2,73.0,463,0.5,0.543,0.08,0.19,0.26,0.5,2.3,6,14
HAB_I_P2_TAR,P2-I-HABITAT-FRANCE_ARDOISE,99.6,49327,1.344,0.697,0.05,0.54,1.68,2.0,2.48,1,2,45.9,22744,0.343,0.223,0.05,0.19,0.27,0.43,1.19,9,13
