ID_ARCHETYPE,archetype,perc_wall,wall_count,wall_mean,wall_std,wall_min,wall_Q1,wall_Q2,wall_Q3,wall_max,wall_EP_ISOL_M1_med,wall_EP_ISOL_M1_moy,perc_roof,roof_count,roof_mean,roof_std,roof_min,roof_Q1,roof_Q2,roof_Q3,roof_max,roof_EP_ISOL_T1_med,roof_EP_ISOL_T1_moy
COM_I_P1_TF,P1-I-COMMERCE-FRANCE,100,916,0.855,0.673,0.05,0.35,0.47,1.55,2.5,6,2,100,916,0.756,0.873,0.06,0.19,0.25,1.2,3.61,3,14
HAB_I_P1_TBO_TUI,P1-I-HABITAT-FRANCE_BOIS_TUILE,100,1010,0.809,0.681,0.1,0.34,0.4,1.5,2.5,5,0,100,1010,0.86,0.933,0.06,0.19,0.3,1.45,2.5,2,11
HAB_I_P1_TBR_TUI,P1-I-HABITAT-FRANCE_BRIQUE_TUILE,100,9405,0.931,0.701,0.05,0.36,0.51,1.9,2.61,5,1,100,9405,0.927,0.925,0.05,0.2,0.34,1.45,3.33,2,9
HAB_I_P1_TCAL_ARD,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ARDOISE,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4
HAB_I_P1_TCAL_TUI,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4
HAB_I_P1_TCA_ZIN,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4
HAB_I_P1_TGNE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,100,621,0.983,0.688,0.18,0.36,0.58,1.75,2.0,5,2,100,621,0.875,0.949,0.1,0.19,0.3,1.45,2.5,2,11
HAB_I_P1_TGRA_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,100,1961,0.911,0.673,0.08,0.36,0.47,1.7,2.5,6,2,100,1961,0.865,0.895,0.08,0.2,0.34,1.2,2.5,2,9
HAB_I_P1_TGRA_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,100,1961,0.911,0.673,0.08,0.36,0.47,1.7,2.5,6,2,100,1961,0.865,0.895,0.08,0.2,0.34,1.2,2.5,2,9
HAB_I_P1_TGRE_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,100,5661,0.931,0.706,0.05,0.34,0.47,1.75,3.42,6,2,100,5661,0.877,0.886,0.06,0.19,0.34,1.45,3.0,2,9
HAB_I_P1_TGRE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRES_TUILE,100,5661,0.931,0.706,0.05,0.34,0.47,1.75,3.42,6,2,100,5661,0.877,0.886,0.06,0.19,0.34,1.45,3.0,2,9
HAB_I_P1_TMEU,P1-I-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,100,1594,0.882,0.692,0.12,0.34,0.45,1.65,2.5,6,2,100,1594,0.843,0.873,0.07,0.19,0.31,1.2,2.5,2,11
HAB_I_P1_TSCH_TUI,P1-I-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,100,617,1.239,0.728,0.18,0.42,1.65,2.0,2.56,0,1,100,617,0.943,0.929,0.1,0.24,0.34,1.45,2.5,2,9
HAB_I_P1_TER_TUI,P1-I-HABITAT-FRANCE_TERRE_TUILE,100,1074,0.779,0.671,0.1,0.33,0.4,0.98,2.5,7,2,100,1074,0.686,0.806,0.08,0.19,0.25,1.2,2.5,4,14
HAB_P_P1_TBO_TUI,P1-P-HABITAT-FRANCE_BOIS_TUILE,100,2141,0.876,0.691,0.09,0.35,0.47,1.68,2.5,4,0,100,2141,0.568,0.746,0.06,0.18,0.23,0.43,2.5,5,15
HAB_P_P1_TBR_TUI,P1-P-HABITAT-FRANCE_BRIQUE_TUILE,100,34181,0.923,0.694,0.05,0.36,0.55,1.75,2.89,4,1,100,34181,0.615,0.762,0.05,0.19,0.25,0.5,2.74,4,14
HAB_P_P1_TCAL_TUI,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,100,27244,0.942,0.696,0.07,0.36,0.54,1.8,2.5,5,2,100,27244,0.598,0.77,0.05,0.18,0.25,0.43,3.61,4,14
