ID_ARCHETYPE,archetype,perc_simple_vit_3CL,perc_double_vit_3CL,perc_triple_vit_3CL,main_vit_3CL,main_vit_Danube,Danube_equal_3CL
COM_I_P1_TF,P1-I-COMMERCE-FRANCE,9.4,90.4,0.2,double vitrage,simple vitrage,False
HAB_I_P1_TBO_TUI,P1-I-HABITAT-FRANCE_BOIS_TUILE,11.1,88.2,0.7,double vitrage,simple vitrage,False
HAB_I_P1_TBR_TUI,P1-I-HABITAT-FRANCE_BRIQUE_TUILE,9.1,90.5,0.3,double vitrage,simple vitrage,False
HAB_I_P1_TCAL_ARD,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ARDOISE,15.1,84.7,0.2,double vitrage,simple vitrage,False
HAB_I_P1_TCAL_TUI,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,15.1,84.7,0.2,double vitrage,simple vitrage,False
HAB_I_P1_TCA_ZIN,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,15.1,84.7,0.2,double vitrage,simple vitrage,False
HAB_I_P1_TGNE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,16.6,83.4,0.0,double vitrage,simple vitrage,False
HAB_I_P1_TGRA_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,8.0,91.9,0.2,double vitrage,simple vitrage,False
HAB_I_P1_TGRA_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,8.0,91.9,0.2,double vitrage,simple vitrage,False
HAB_I_P1_TGRE_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,8.4,90.8,0.8,double vitrage,simple vitrage,False
HAB_I_P1_TGRE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRES_TUILE,8.4,90.8,0.8,double vitrage,simple vitrage,False
HAB_I_P1_TMEU,P1-I-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,5.6,93.7,0.7,double vitrage,simple vitrage,False
HAB_I_P1_TSCH_TUI,P1-I-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,18.8,81.2,0.0,double vitrage,simple vitrage,False
HAB_I_P1_TER_TUI,P1-I-HABITAT-FRANCE_TERRE_TUILE,6.5,93.4,0.1,double vitrage,simple vitrage,False
HAB_P_P1_TBO_TUI,P1-P-HABITAT-FRANCE_BOIS_TUILE,17.6,81.9,0.4,double vitrage,simple vitrage,False
HAB_P_P1_TBR_TUI,P1-P-HABITAT-FRANCE_BRIQUE_TUILE,12.3,87.2,0.3,double vitrage,simple vitrage,False
HAB_P_P1_TCAL_TUI,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,15.7,83.9,0.4,double vitrage,simple vitrage,False
HAB_P_P1_TCA_ZIN,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,15.7,83.9,0.4,double vitrage,simple vitrage,False
HAB_P_P1_TGNE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,19.4,80.2,0.4,double vitrage,simple vitrage,False
HAB_P_P1_TGRA_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,13.4,86.0,0.4,double vitrage,simple vitrage,False
HAB_P_P1_TGRA_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,13.4,86.0,0.4,double vitrage,simple vitrage,False
HAB_P_P1_TGRE_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,13.1,86.3,0.6,double vitrage,simple vitrage,False
HAB_P_P1_TGRE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRES_TUILE,13.1,86.3,0.6,double vitrage,simple vitrage,False
HAB_P_P1_TMEU,P1-P-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,12.0,87.0,1.0,double vitrage,simple vitrage,False
