INSEE_DEP,Part_Tui,Part_Ard,Part_Zin,Dens_toit,Toit,P1Old,P2Old,Terr_P1,Terr_P2,Diff_P1
01,0.935484,0.024831,0.039684,0.006175,Tuile,FRANCE_TERRE_TUILE,FRANCE_TUILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,1
09,0.780596,0.174623,0.029491,0.002621,Tuile,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,1
11,0.959668,0.033371,0.00696,0.002958,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
12,0.441912,0.533258,0.02483,0.002021,Ardoise,FRANCE_PIERRE_SCHISTE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,1
13,0.994355,0.001509,0.004136,0.011913,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
14,0.49807,0.476041,0.025888,0.005957,Tuile,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,0
15,0.560266,0.405453,0.034281,0.001405,Tuile,FRANCE_PIERRE_VOLCANIQUE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_VOLCANIQUE_TUILE,FRANCE_TUILE,1
16,0.973434,0.011503,0.015063,0.004409,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
17,0.975228,0.009228,0.015543,0.00674,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
18,0.748376,0.233824,0.0178,0.002572,Tuile,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,0
19,0.374673,0.543722,0.020673,0.002215,Ardoise,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,1
10,0.951465,0.030079,0.018456,0.003103,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,1
2A,0.994836,0.002051,0.003113,0.001305,Tuile,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,1
2B,0.659453,0.33458,0.005967,0.001689,Tuile,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,1
21,0.943793,0.032179,0.024028,0.002778,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
22,0.015581,0.962594,0.021826,0.006336,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,1
23,0.662777,0.319917,0.017306,0.001948,Tuile,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,0
24,0.942679,0.041963,0.015358,0.003549,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,1
25,0.955936,0.004174,0.03989,0.00381,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
26,0.566943,0.002115,0.014964,0.00315,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,1
27,0.650896,0.326298,0.022805,0.004155,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,0
28,0.760474,0.223243,0.016284,0.003908,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,0
02,0.538307,0.441473,0.020221,0.002936,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,0
29,0.015219,0.947065,0.030496,0.007455,Ardoise,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,1
30,0.977379,0.015994,0.006627,0.005912,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
31,0.892965,0.079975,0.02706,0.007443,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
32,0.979163,0.004152,0.016686,0.001939,Tuile,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,1
33,0.970047,0.008753,0.0212,0.00925,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
34,0.97254,0.02,0.00746,0.007632,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
35,0.012479,0.95644,0.031082,0.006349,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,1
36,0.7279,0.252153,0.019947,0.002448,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
37,0.463469,0.51441,0.022121,0.005454,Ardoise,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,1
38,0.868042,0.05825,0.073707,0.006597,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
03,0.852689,0.056076,0.024989,0.003444,Tuile,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,0
39,0.956834,0.004447,0.038719,0.002996,Tuile,FRANCE_TERRE_TUILE,FRANCE_TUILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,1
40,0.965896,0.003719,0.030385,0.003872,Tuile,FRANCE_BOIS_TUILE,FRANCE_TUILE,FRANCE_BOIS_TUILE,FRANCE_TUILE,1
41,0.702691,0.274574,0.022735,0.003803,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,0
42,0.961939,0.004305,0.033756,0.006831,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
43,0.934231,0.01828,0.028034,0.003483,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,1
44,0.400166,0.578259,0.021575,0.010979,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,1
45,0.753182,0.230106,0.016712,0.004967,Tuile,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,0
46,0.923534,0.057442,0.019024,0.002679,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
47,0.981911,0.003956,0.014133,0.004028,Tuile,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,1
48,0.427013,0.549556,0.023431,0.00087,Ardoise,FRANCE_PIERRE_SCHISTE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,1
04,0.895537,0.026086,0.078377,0.001332,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
49,0.210115,0.765105,0.02478,0.005925,Ardoise,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,1
50,0.28847,0.683986,0.027544,0.004284,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,1
51,0.739988,0.049124,0.029812,0.002577,Tuile,FRANCE_TERRE_TUILE,FRANCE_TUILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,1
52,0.971601,0.007795,0.020603,0.00167,Tuile,FRANCE_TERRE_TUILE,FRANCE_TUILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,1
53,0.097081,0.883915,0.019004,0.00287,Ardoise,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,0
54,0.945306,0.012882,0.041813,0.005175,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,1
55,0.733442,0.012152,0.027952,0.001358,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,1
56,0.012476,0.963769,0.023755,0.008711,Ardoise,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,1
57,0.941108,0.014831,0.044061,0.005726,Tuile,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,1
05,0.633489,0.117817,0.248694,0.001065,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,1
