INSEE_DEP,Part_Tui,Part_Ard,Part_Zin,Dens_toit,Toit,P1Old,P2Old,Terr_P1,Terr_P2,Diff_P1
"01",0.935484374045801,0.024831463104326,0.039684170483461,0.006174513994911,Tuile,FRANCE_TERRE_TUILE,FRANCE_TUILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,"1"
"09",0.780596061162080,0.174622538226300,0.029490877675841,0.002620868501529,Tuile,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,"1"
"11",0.959668032332563,0.033371498845266,0.006960466512702,0.002957930715935,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"12",0.441912347368421,0.533257536842105,0.024830122807018,0.002021326315789,Ardoise,FRANCE_PIERRE_SCHISTE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,"1"
"13",0.994355243697479,0.001508613445378,0.004136151260504,0.011913058823529,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"14",0.498070202651515,0.476041375000000,0.025888407196970,0.005957388257576,Tuile,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,"0"
"15",0.560265780487805,0.405453186991870,0.034281060975610,0.001404776422764,Tuile,FRANCE_PIERRE_VOLCANIQUE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_VOLCANIQUE_TUILE,FRANCE_TUILE,"1"
"16",0.973434384615384,0.011502989010989,0.015062645604396,0.004409140109890,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"17",0.975228449244059,0.009228481641469,0.015543036717063,0.006740077753780,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"18",0.748376331010453,0.233823721254355,0.017799940766551,0.002571616724739,Tuile,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,"0"
"19",0.374672960573477,0.543722433691756,0.020672720430108,0.002214863799283,Ardoise,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,"1"
"10",0.951465185614850,0.030079229698376,0.018455575406032,0.003103271461717,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,"1"
2A,0.994835741935484,0.002050927419355,0.003113362903226,0.001305137096774,Tuile,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,"1"
2B,0.659452690677966,0.334579923728814,0.005967338983051,0.001689351694915,Tuile,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,"1"
"21",0.943793047277937,0.032178747851003,0.024028176217765,0.002778348137536,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"22",0.015580853448276,0.962593557471264,0.021825543103448,0.006336206896552,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,"1"
"23",0.662776667968749,0.319917019531250,0.017306308593750,0.001947726562500,Tuile,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,"0"
"24",0.942679349900597,0.041962803180915,0.015357876739563,0.003549296222664,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,"1"
"25",0.955935924693520,0.004174404553415,0.039889665499124,0.003809686514886,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"26",0.566942911845730,0.002114716253444,0.014964371900826,0.003150242424242,Tuile,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,"1"
"27",0.650896148717948,0.326298403418803,0.022805408547009,0.004155379487179,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"0"
"28",0.760473575342465,0.223242841095890,0.016283550684931,0.003907906849315,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"0"
"02",0.538306660826032,0.441472652065081,0.020220652065081,0.002935833541927,Tuile,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"0"
"29",0.015219469314079,0.947064657039711,0.030495671480144,0.007454873646209,Ardoise,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,"1"
"30",0.977378792022792,0.015994470085470,0.006626717948718,0.005911686609687,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"31",0.892965148464164,0.079975204778157,0.027059648464164,0.007442773037543,Tuile,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,"1"
"32",0.979162555314533,0.004151561822126,0.016685882863341,0.001939041214751,Tuile,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,"1"
"33",0.970047235514019,0.008752912149533,0.021199833644860,0.009249605607477,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"34",0.972540055555555,0.020000324561403,0.007459611111111,0.007632388888889,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"35",0.012478558558559,0.956439678678678,0.031081795795796,0.006348576576577,Ardoise,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,"1"
"36",0.727899987551867,0.252152759336099,0.019947240663900,0.002448273858921,Tuile,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,"1"
"37",0.463468551470588,0.514410378676471,0.022121055147059,0.005453639705882,Ardoise,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,"1"
